QB,RB,WR,TE,OL,Offense,IDL,EDGE,LB,S,CB,Defense,Team,Year
10238211.0,11190118.0,6496909.0,11467859.0,35796366.0,75189463.0,10325927.0,13718331.0,7077973.0,7686153.0,5801497.0,44609881.0,Bills,2017
22129791.0,6704574.0,15603598.0,10039875.0,20295961.0,74773799.0,14868181.0,21252770.0,3079205.0,7567614.0,4398800.0,51166570.0,Colts,2017
17047200.0,5553764.0,18671297.0,5529031.0,22993789.0,69795081.0,15087353.0,14892449.0,12040537.0,11021745.0,17917711.0,70959795.0,Lions,2017
21444105.0,6846041.0,14572454.0,4806305.0,21971246.0,69640151.0,13231093.0,26432590.0,11922152.0,3870386.0,27976841.0,83433062.0,Giants,2017
10071983.0,13724506.0,13512773.0,7480525.0,23902263.0,68692050.0,36897369.0,8251178.0,13216415.0,15958866.0,13849553.0,88173381.0,Jaguars,2017
3855907.0,9441681.0,22653336.0,10632622.0,20421501.0,67005047.0,17826431.0,14975844.0,9833223.0,10598898.0,21425963.0,74660359.0,Texans,2017
22523284.0,6109029.0,10830686.0,7988864.0,19431712.0,66883575.0,13847877.0,15647606.0,10635653.0,11466277.0,21360634.0,72958047.0,Vikings,2017
11738985.0,8969129.0,18804531.0,3178912.0,23495847.0,66187404.0,30220786.0,9762983.0,8819460.0,8500031.0,17764740.0,75068000.0,Buccaneers,2017
21205288.0,4243728.0,5474701.0,7192941.0,25611612.0,63728270.0,16972578.0,35949428.0,6576004.0,14053421.0,6828257.0,80379688.0,Chiefs,2017
3920973.0,6090264.0,25054318.0,4832368.0,23704519.0,63602442.0,18109284.0,23398406.0,9388589.0,8775903.0,24273641.0,83945823.0,Broncos,2017
7755133.0,6953354.0,25219237.0,3237501.0,20306285.0,63471510.0,19055848.0,15841769.0,17897035.0,5194177.0,22147687.0,80136516.0,Rams,2017
15443870.0,5565665.0,8724467.0,12553573.0,21118436.0,63406011.0,9895825.0,19887433.0,18261753.0,20890487.0,23142234.0,92077732.0,Seahawks,2017
10351646.0,8746428.0,19514493.0,7486458.0,17127063.0,63226088.0,20991161.0,23008834.0,9206570.0,13657831.0,15276846.0,82141242.0,Titans,2017
8334184.0,10310192.0,8058956.0,2443262.0,29743163.0,58889757.0,30004586.0,5244382.0,5963101.0,6921694.0,16360022.0,64493785.0,Jets,2017
2209957.0,4470494.0,5198547.0,3254760.0,41615803.0,56749561.0,5528898.0,9198852.0,21613135.0,3882857.0,7163759.0,47387501.0,Browns,2017
1280189.0,2825514.0,13826473.0,3831656.0,25655347.0,47419179.0,8811687.0,17957489.0,8945957.0,9535769.0,6441770.0,51692672.0,49ers,2017
38197259.0,8311842.0,18448916.0,3643398.0,33769652.0,102371067.0,10033146.0,16528345.0,8852841.0,6310620.0,18947503.0,60672455.0,49ers,2018
25915200.0,7694424.0,18652510.0,11533431.0,36376204.0,100171769.0,11861506.0,2352299.0,10206380.0,11068824.0,11492532.0,46981541.0,Raiders,2018
22329200.0,7325063.0,24432270.0,2433131.0,40262172.0,96781836.0,6021602.0,11943939.0,8581239.0,9445802.0,26512595.0,62505177.0,Falcons,2018
22071928.0,1581868.0,26709607.0,10835666.0,33058976.0,94258045.0,19391088.0,23692894.0,4603006.0,2949361.0,10277116.0,60913465.0,Packers,2018
22370588.0,6464791.0,11550945.0,16639653.0,35598047.0,92624024.0,11918322.0,17481245.0,6801489.0,5638443.0,21140054.0,62979553.0,Commanders,2018
24442360.0,5651728.0,19436865.0,7333699.0,34889282.0,91753934.0,2692766.0,13837156.0,21595019.0,5640141.0,18933305.0,62698387.0,Browns,2018
26852600.0,7093841.0,12859196.0,7775068.0,35725330.0,90306035.0,7215630.0,20379299.0,14765854.0,7798629.0,8475586.0,58634998.0,Saints,2018
23129200.0,4755413.0,25433190.0,7068484.0,27984393.0,88370680.0,14590006.0,22744570.0,6339835.0,10693090.0,17921985.0,72289486.0,Chargers,2018
25722676.0,2083712.0,20549797.0,13375573.0,25098865.0,86830623.0,11406297.0,12518570.0,3849218.0,6461829.0,5307934.0,39543848.0,Colts,2018
26462000.0,8510220.0,15333845.0,9592122.0,26668316.0,86566503.0,18526098.0,18610741.0,18490720.0,15731056.0,22554099.0,93912714.0,Vikings,2018
12616903.0,3981361.0,34124743.0,10224401.0,25173502.0,86120910.0,30935514.0,21624467.0,14813639.0,6026118.0,15212917.0,88612655.0,Buccaneers,2018
